index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by
8128,404-4949424-8861154,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,399,HUBBALLI,KARNATAKA,580024,IN,FALSE,Easy Ship
8129,404-4949424-8861154,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,399,HUBBALLI,KARNATAKA,580024,IN,FALSE,Easy Ship
8130,403-1123573-5461951,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,495,Kolaghat,WEST BENGAL,721151,IN,FALSE,Easy Ship
8131,402-3612387-3681134,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,318,DIBRUGARH,ASSAM,786001,IN,FALSE,Easy Ship
8132,407-2128267-3405135,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,517,ERNAKULAM,KERALA,682315,IN,FALSE,Easy Ship
8135,408-5199847-8989954,04-25-22,Cancelled,Merchant,Amazon.in,Standard,Shirt,XS,On the Way,0,INR,463.81,LUCKNOW,UTTAR PRADESH,226002,IN,FALSE,Easy Ship
8136,405-7596517-8068361,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,458,ABU ROAD,RAJASTHAN,307026,IN,FALSE,Easy Ship
8137,404-9310162-0030715,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,376,CHENNAI,TAMIL NADU,600012,IN,FALSE,Easy Ship
8138,406-8972647-1017160,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,517,Nagpur,MAHARASHTRA,440030,IN,FALSE,Easy Ship
8139,407-3801619-8023565,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,626,BHAVNAGAR,Gujarat,364003,IN,FALSE,Easy Ship
8140,404-9535689-6711555,04-25-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,3XL,On the Way,0,INR,1121.43,KANCHRAPARA,WEST BENGAL,743145,IN,FALSE,Easy Ship
8141,408-8423073-8240350,04-25-22,Cancelled,Merchant,Amazon.in,Standard,Shirt,XS,On the Way,0,INR,662.86,Kechery,KERALA,680501,IN,FALSE,Easy Ship
8142,406-3311010-6186704,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,S,Shipped,1,INR,885,LUDHIANA,PUNJAB,141001,IN,FALSE,Easy Ship
8144,171-0893214-7318701,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,L,Shipped,1,INR,807,MUMBAI,MAHARASHTRA,400013,IN,FALSE,Easy Ship
8152,408-7907425-6921916,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,399,MARIGAON,ASSAM,782105,IN,FALSE,Easy Ship
8153,171-4750992-8219539,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Socks,L,Shipped,1,INR,377,CHENNAI,TAMIL NADU,600048,IN,FALSE,Easy Ship
8154,171-0505442-4149126,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,1399,BHUBANESWAR,ODISHA,751006,IN,FALSE,Easy Ship
8155,171-0505442-4149126,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,1369,BHUBANESWAR,ODISHA,751006,IN,FALSE,Easy Ship
8158,407-4616647-7480348,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,259,HASSAN,KARNATAKA,573201,IN,FALSE,Easy Ship
8159,407-4616647-7480348,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,280,HASSAN,KARNATAKA,573201,IN,FALSE,Easy Ship
8160,407-4616647-7480348,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,363,HASSAN,KARNATAKA,573201,IN,FALSE,Easy Ship
8163,403-0607547-2457946,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,399,Pune,MAHARASHTRA,411014,IN,FALSE,Easy Ship
8164,407-1596289-0469125,04-25-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,XL,On the Way,0,INR,690.48,"Thirunagar, Madurai",TAMIL NADU,625006,IN,FALSE,Easy Ship
8166,407-8960599-7474708,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,499,Bangalore,KARNATAKA,560048,IN,FALSE,Easy Ship
8168,404-7059687-7052340,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,1186,JAIPUR,RAJASTHAN,302002,IN,TRUE,Easy Ship
8173,404-1308500-2676337,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,487,SILCHAR,ASSAM,788101,IN,FALSE,Easy Ship
8174,171-5427656-5233116,04-25-22,Cancelled,Merchant,Amazon.in,Standard,Shirt,3XL,On the Way,0,INR,634.29,MUMBAI,MAHARASHTRA,400064,IN,FALSE,Easy Ship
8175,402-8450125-1059552,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,1115,Mohali,Punjab,140307,IN,FALSE,Easy Ship
8176,406-1759089-7984313,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XS,Shipped,1,INR,551,FARIDABAD,HARYANA,121003,IN,FALSE,Easy Ship
8181,405-9711028-3661913,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,967,SURAT,Gujarat,394155,IN,FALSE,Easy Ship
8187,402-7354964-6098748,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,459,MANCHERIAL,TELANGANA,504208,IN,FALSE,Easy Ship
8188,403-4375899-4275525,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,499,THANE,MAHARASHTRA,401107,IN,FALSE,Easy Ship
8202,404-3387768-2771538,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,376,ALNAVAR,KARNATAKA,581103,IN,FALSE,Easy Ship
8204,402-6867900-6169149,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,3XL,Shipped,1,INR,654,MIRZAPUR CUM VINDHYACHAL,UTTAR PRADESH,231001,IN,FALSE,Easy Ship
8205,404-3406913-0918706,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,3XL,Shipped,1,INR,744,Mumbai,MAHARASHTRA,400054,IN,FALSE,Easy Ship
8207,405-5417518-6293129,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,399,UDAIPUR,RAJASTHAN,313001,IN,FALSE,Easy Ship
8208,404-6093925-9184327,04-25-22,Cancelled,Merchant,Amazon.in,Standard,Trousers,L,On the Way,0,INR,474.11,"CEPZ PO, Kakkanad ,Kochi",KERALA,682037,IN,FALSE,Easy Ship
8210,406-3776699-8701917,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,654,KOLKATA,WEST BENGAL,700006,IN,FALSE,Easy Ship
8212,404-3921416-1693962,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,626,HYDERABAD,TELANGANA,500033,IN,FALSE,Easy Ship
8213,406-7075116-6878750,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,S,Shipped,2,INR,1398,TUMAKURU,KARNATAKA,572104,IN,FALSE,Easy Ship
8219,403-5372532-8397136,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,345,PRODDATUR,ANDHRA PRADESH,516360,IN,FALSE,Easy Ship
8220,408-7796750-4117112,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,666,BENGALURU,KARNATAKA,560046,IN,FALSE,Easy Ship
8222,406-4620453-3801161,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,636,MATHURA,UTTAR PRADESH,281001,IN,FALSE,Easy Ship
8231,408-3627991-0113940,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,XL,Shipped,1,INR,899,MUMBAI,MAHARASHTRA,400077,IN,FALSE,Easy Ship
8234,407-1572986-3453148,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,459,WARANGAL,TELANGANA,506001,IN,FALSE,Easy Ship
8235,407-5025733-7144314,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,654,BENGALURU,KARNATAKA,560073,IN,FALSE,Easy Ship
8237,405-3866241-4175508,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,563,SHIMLA,HIMACHAL PRADESH,171001,IN,FALSE,Easy Ship
8238,405-9098157-0777934,04-25-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,S,On the Way,0,INR,1278.57,Ikauna,UTTAR PRADESH,271845,IN,FALSE,Easy Ship
8243,405-6307165-3917939,04-25-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,S,On the Way,0,INR,1278.57,Ikauna,UTTAR PRADESH,271845,IN,FALSE,Easy Ship
8246,404-3664798-9349118,04-25-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,734.29,CHENNAI,TAMIL NADU,600050,IN,FALSE,Easy Ship
8247,408-7219831-3045959,04-25-22,Cancelled,Merchant,Amazon.in,Standard,Shirt,XXL,On the Way,0,INR,380,SINDHNUR,KARNATAKA,584128,IN,FALSE,Easy Ship
8248,403-0703285-6953163,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,969,RISHIKESH,UTTARAKHAND,249201,IN,FALSE,Easy Ship
8252,403-5937888-6648361,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,696,MUMBAI,MAHARASHTRA,400056,IN,FALSE,Easy Ship
8253,406-6976254-3479516,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,660,GURUGRAM,HARYANA,122001,IN,FALSE,Easy Ship
